Nom Pays,Forest area (sq. km) 2011,Forest area (sq. km) 2012
Afghanistan,"13 500,0","13 500,0"
Afrique du Sud,"92 410,0","92 410,0"
Albanie,"7 751,6","7 740,2"
Algérie,"14 832,0","14 744,0"
Allemagne,"110 760,0","110 760,0"
Andorre,"160,0","160,0"
Angola,"583 552,0","582 304,0"
Antigua-et-Barbuda,"98,0","98,0"
Arabie saoudite,"9 770,0","9 770,0"
Argentine,"291 602,0","289 204,0"
Arménie,"2 578,0","2 536,0"
Aruba,"4,2","4,2"
Australie,"1 483 760,0","1 474 520,0"
Autriche,"38 920,0","38 970,0"
Azerbaïdjan,"9 360,0","9 360,0"
Bahamas,"5 150,0","5 150,0"
Bahreïn,"5,4","5,6"
Bangladesh,"14 394,0","14 368,0"
Barbade,"83,6","83,6"
Bélarus,"86 688,0","87 076,0"
Belgique,"6 788,4","6 798,8"
Belize,"13 834,0","13 738,0"
Bénin,"45 110,0","44 610,0"
Bermudes,"10,0","10,0"
Bhoutan,"32 598,0","32 706,0"
Bolivie,"568 884,0","565 808,0"
Bosnie-Herzégovine,"21 850,0","21 850,0"
Botswana,"112 326,0","111 142,0"
Brésil,"5 173 276,0","5 151 332,0"
Brunéi Darussalam,"3 782,0","3 764,0"
Bulgarie,"39 822,0","40 374,0"
Burkina Faso,"55 890,0","55 290,0"
Burundi,"1 702,0","1 684,0"
Cabo Verde,"847,9","856,9"
Cambodge,"99 666,0","98 392,0"
Cameroun,"196 960,0","194 760,0"
Canada,"3 101 340,0","3 101 340,0"
Chili,"162 686,0","163 062,0"
Chine,"2 096 239,4","2 123 872,8"
"Chine, RAS de Hong Kong",,
Chypre,"1 732,5","1 733,1"
Cisjordanie et Gaza,"91,7","91,7"
Colombie,"603 980,0","602 970,0"
Comores,"26,0","22,0"
"Congo, République démocratique du","1 538 236,0","1 535 122,0"
"Congo, République du","223 990,0","223 870,0"
"Corée, République de","62 154,0","62 088,0"
"Corée, République démocratique de","55 394,0","54 128,0"
Costa Rica,"26 278,0","26 506,0"
Côte d'Ivoire,"104 026,0","104 022,0"
Croatie,"19 234,0","19 268,0"
Cuba,"29 046,0","29 392,0"
Curacao,,
Danemark,"5 460,0","5 480,0"
Djibouti,"56,0","56,0"
Dominique,"443,9","441,0"
"Égypte, République arabe d'","706,0","712,0"
El Salvador,"2 826,0","2 782,0"
Émirats arabes unis,"3 183,6","3 194,2"
Équateur,"96 674,0","94 698,0"
Érythrée,"15 276,0","15 232,0"
Espagne,"183 493,0","185 253,2"
